incident_id,incident_type,logs,chat_transcript,commands_executed,root_cause,resolution,preventive_action
INC_0238,network_latency_timeout,"2026-02-01 09:33:18 ERROR API timeout in OrderService
2026-02-01 09:33:28 WARN Network latency 180ms
2026-02-01 09:33:38 WARN Increased error rate detected for OrderService
2026-02-01 09:34:18 INFO Network stabilized","Engineer A: Requests are timing out intermittently.
Engineer B: Network latency spike detected.
Engineer A: Checking upstream health and metrics.
Engineer B: Latency normalized.",,Upstream network instability led to timeouts observed in OrderService.,Observed stabilization after investigating network metrics and dependencies.,Implement retry/backoff and alert on upstream latency spikes.
INC_0016,cpu_timeout,"2026-02-01 13:18:22 ERROR Gateway timeout on vm-9
2026-02-01 13:18:27 WARN CPU usage 90% on vm-9
2026-02-01 13:18:42 WARN Queue depth high for Gateway
2026-02-01 13:19:22 INFO Restart initiated for Gateway
2026-02-01 13:20:22 INFO Service restored","Engineer A: Users reporting errors on Gateway.
Engineer B: High load on vm-9 (CPU 90%).
Engineer A: Rolling restart now.
Engineer B: Service looks healthy.",kubectl rollout restart deployment Gateway,High CPU usage on vm-9 caused Gateway timeouts.,Restarted Gateway deployment.,Enable auto-scaling and add CPU alerts.
INC_0027,cpu_timeout,"2026-02-01 12:07:38 ERROR PaymentService timeout on node-3
2026-02-01 12:07:43 WARN CPU usage 92% on node-3
2026-02-01 12:07:58 WARN Queue depth high for PaymentService
2026-02-01 12:08:38 INFO Restart initiated for PaymentService
2026-02-01 12:09:38 INFO Service restored","Engineer A: PaymentService is timing out.
Engineer B: node-3 looks overloaded (CPU 92%).
Engineer A: Restarting deployment.
Engineer B: Service looks healthy.",kubectl rollout restart deployment PaymentService,High CPU usage on node-3 caused PaymentService timeouts.,Restarted PaymentService deployment.,Add autoscaling plus dashboards for CPU and latency.
INC_0110,db_connection_failure,"2026-02-01 11:38:46 ERROR PaymentService failed to connect to database
2026-02-01 11:38:56 WARN Connection refused on db-server-1
2026-02-01 11:39:46 INFO Database service restarted
2026-02-01 11:40:46 INFO Connection restored","Engineer A: Database connection errors in the app.
Engineer B: db-server-1 appears down/unreachable.
Engineer A: Restarting DB now.
Engineer B: App is connecting again.",systemctl restart postgresql,Database host db-server-1 stopped responding to connections.,Restarted postgresql service to restore connectivity.,Enable DB monitoring/alerts and implement client retries.
INC_0116,db_connection_failure,"2026-02-01 15:04:40 ERROR PaymentService failed to connect to database
2026-02-01 15:04:50 WARN Connection refused on db-server-2
2026-02-01 15:05:10 WARN DB health check failed on db-server-2
2026-02-01 15:05:40 INFO Database service restarted
2026-02-01 15:06:40 INFO Connection restored
2026-02-01 15:07:40 INFO Application error rate returned to normal","Engineer A: App cannot connect to DB.
Engineer B: DB host db-server-2 is failing health checks.
Engineer A: Cycling the DB service.
Engineer B: App is connecting again.",systemctl restart postgresql,Database host db-server-2 stopped responding to connections.,Performed DB service restart (postgresql) and confirmed recovery.,Add circuit breaker + retries in the application.
INC_0148,disk_full,"2026-02-01 12:19:16 ERROR Disk space 100% on vm-9
2026-02-01 12:19:36 WARN Write failure in LoggingService
2026-02-01 12:21:16 INFO Old logs cleared
2026-02-01 12:22:16 INFO Disk usage reduced to 55%","Engineer A: Disk full on vm-9.
Engineer B: Checking largest directories now.
Engineer A: Clearing old logs.
Engineer B: Write operations are working again.
Engineer A: Verifying disk usage and service health.",journalctl --vacuum-time=7d,Disk exhaustion on vm-9 caused write failures for LoggingService.,Cleared old logs and temporary files to free disk space.,Configure log rotation and disk usage alerts.
INC_0143,disk_full,"2026-02-01 15:39:18 ERROR Disk space 100% on node-6
2026-02-01 15:39:38 WARN Write failure in ETLWorker
2026-02-01 15:39:53 WARN No space left on device on node-6
2026-02-01 15:41:18 INFO Old logs cleared
2026-02-01 15:42:18 INFO Disk usage reduced to 65%
2026-02-01 15:43:18 INFO ETLWorker health check passed","Engineer A: Disk full on node-6.
Engineer B: Looking for big files and old archives.
Engineer A: Removing old temp files.
Engineer B: Disk usage dropped; service recovering.",journalctl --vacuum-time=7d ; rm -rf /var/log/old_logs/*,Temporary storage exhaustion on node-6 led to write errors in ETLWorker.,Freed disk space by removing old data and confirmed stability.,Configure log rotation and disk usage alerts.
INC_0053,cpu_timeout,"2026-02-01 16:57:29 ERROR AuthService timeout on node-4
2026-02-01 16:57:34 WARN CPU usage 95% on node-4
2026-02-01 16:58:29 INFO Restart initiated for AuthService
2026-02-01 16:59:29 INFO Service restored","Engineer A: AuthService is timing out.
Engineer B: High load on node-4 (CPU 95%).
Engineer A: Rolling restart now.
Engineer B: Stable now.",kubectl rollout restart deployment AuthService,High CPU usage on node-4 caused AuthService timeouts.,Restarted AuthService deployment.,Add rate limiting and investigate traffic spikes.
INC_0100,db_connection_failure,"2026-02-01 17:39:00 ERROR PaymentService failed to connect to database
2026-02-01 17:39:10 WARN Connection refused on db-server-2
2026-02-01 17:40:00 INFO Database service restarted
2026-02-01 17:41:00 INFO Connection restored
2026-02-01 17:42:00 INFO Application error rate returned to normal","Engineer A: Database connection errors in the app.
Engineer B: db-server-2 appears down/unreachable.
Engineer A: Restarting DB now.
Engineer B: Errors cleared after restart.
Engineer A: Monitoring connections for 2 minutes.",systemctl restart mysql,DB service disruption on db-server-2 led to application errors.,Restarted mysql and monitored until stable.,Configure connection pooling with retries and alert on DB errors.
INC_0235,network_latency_timeout,"2026-02-01 17:28:08 ERROR API timeout in OrderService
2026-02-01 17:28:18 WARN Network latency 900ms
2026-02-01 17:29:08 INFO Network stabilized","Engineer A: Requests are timing out intermittently.
Engineer B: Gateway latency increased.
Engineer A: Verifying routing/DNS status.
Engineer B: System looks stable now.",,Network latency spike (~900ms) caused request timeouts in OrderService.,Observed stabilization after investigating network metrics and dependencies.,Set up packet loss monitoring and alert thresholds.
INC_0176,disk_full,"2026-02-01 17:18:42 ERROR Disk space 100% on node-6
2026-02-01 17:19:02 WARN Write failure in ETLWorker
2026-02-01 17:19:42 INFO Running cleanup on node-6
2026-02-01 17:20:42 INFO Old logs cleared
2026-02-01 17:21:42 INFO Disk usage reduced to 70%
2026-02-01 17:22:42 INFO ETLWorker health check passed","Engineer A: No space left on device on node-6.
Engineer B: Investigating /var/log and temp files.
Engineer A: Rotating logs and cleaning up.
Engineer B: Disk usage dropped; service recovering.",rm -rf /var/log/old_logs/*,"Disk usage reached 100% on node-6, causing failures in ETLWorker.",Removed large/old log files and verified disk recovery.,"Alert earlier (e.g., 80% disk) and review capacity."
INC_0058,cpu_timeout,"2026-02-01 13:47:06 ERROR PaymentService timeout on node-6
2026-02-01 13:47:11 WARN CPU usage 92% on node-6
2026-02-01 13:47:26 WARN Queue depth high for PaymentService
2026-02-01 13:48:06 INFO Restart initiated for PaymentService
2026-02-01 13:49:06 INFO Service restored
2026-02-01 13:50:06 INFO Health check passed for PaymentService","Engineer A: PaymentService requests are failing.
Engineer B: CPU is at 92% on node-6.
Engineer A: Rolling restart now.
Engineer B: Traffic is back to normal.",kubectl rollout restart deployment PaymentService,High CPU usage on node-6 caused PaymentService timeouts.,Restarted PaymentService deployment.,Enable auto-scaling and add CPU alerts.
INC_0269,security_failed_logins,"2026-02-01 10:37:55 WARN Multiple failed login attempts (35 in 2m) from 203.0.113.14 on WebLogin
2026-02-01 10:39:55 ERROR Account locked for user svc_app
2026-02-01 10:41:55 INFO Mitigation applied: IP blocked
2026-02-01 10:44:55 INFO Failed login rate returned to baseline","Engineer A: Seeing repeated authentication failures.
Engineer B: Spike in failed logins on WebLogin.
Engineer A: Enabling rate limiting on auth.
Engineer B: Alert cleared after mitigation.",ufw deny from 203.0.113.14,Brute-force login attempts from 203.0.113.14 targeting svc_app via WebLogin.,Blocked 203.0.113.14 at the firewall and locked svc_app temporarily.,Configure account lockout policies and MFA for privileged accounts.
INC_0152,disk_full,"2026-02-01 10:42:16 ERROR Disk space 100% on node-4
2026-02-01 10:42:36 WARN Write failure in LoggingService
2026-02-01 10:42:51 WARN No space left on device on node-4
2026-02-01 10:44:16 INFO Old logs cleared
2026-02-01 10:45:16 INFO Disk usage reduced to 65%
2026-02-01 10:46:16 INFO LoggingService health check passed","Engineer A: No space left on device on node-4.
Engineer B: Checking largest directories now.
Engineer A: Clearing old logs.
Engineer B: Space freed; disk back to normal.",journalctl --vacuum-time=7d ; rm -rf /var/log/old_logs/*,"Disk usage reached 100% on node-4, causing failures in LoggingService.",Removed large/old log files and verified disk recovery.,Apply log rotation policies and review storage capacity planning.
INC_0272,security_failed_logins,"2026-02-01 15:33:54 WARN Multiple failed login attempts (50 in 2m) from 172.16.3.99 on RDP
2026-02-01 15:35:54 ERROR Account locked for user root
2026-02-01 15:37:54 INFO Mitigation applied: IP blocked","Engineer A: Seeing repeated authentication failures.
Engineer B: Spike in failed logins on RDP.
Engineer A: Blocking the IP now.
Engineer B: Traffic looks normal now.",iptables -A INPUT -s 172.16.3.99 -j DROP,Brute-force login attempts from 172.16.3.99 targeting root via RDP.,Enabled rate limiting and blocked 172.16.3.99 to stop repeated failures.,Restrict admin access by IP allowlist and enable MFA.
INC_0252,security_failed_logins,"2026-02-01 13:40:46 WARN Multiple failed login attempts (80 in 5m) from 192.168.1.25 on SSH
2026-02-01 13:45:46 ERROR Account locked for user ops_user
2026-02-01 13:47:46 INFO Mitigation applied: IP blocked
2026-02-01 13:50:46 INFO Failed login rate returned to baseline","Engineer A: Suspicious login attempts detected.
Engineer B: Spike in failed logins on SSH.
Engineer A: Enabling rate limiting on auth.
Engineer B: Alert cleared after mitigation.
Engineer A: Auditing other users for similar attempts on SSH.","netsh advfirewall firewall add rule name=""Block 192.168.1.25"" dir=in action=block remoteip=192.168.1.25",Repeated failed authentication attempts from 192.168.1.25 indicated a brute-force attempt.,Enabled rate limiting and blocked 192.168.1.25 to stop repeated failures.,"Require MFA, reduce exposed auth surface, and monitor failed login spikes."
INC_0207,network_latency_timeout,"2026-02-01 12:57:36 ERROR API timeout in SearchService
2026-02-01 12:57:46 WARN Network latency 900ms
2026-02-01 12:58:06 WARN Packet loss 0.5% observed
2026-02-01 12:58:36 INFO Network stabilized
2026-02-01 12:59:36 INFO Latency back to normal for SearchService","Engineer A: API timing out.
Engineer B: Network latency spike detected.
Engineer A: Verifying routing/DNS status.
Engineer B: Timeouts stopped.",ping -c 5 upstream-service,Transient network degradation (latency ~900ms) impacted SearchService availability.,Monitored the system until network conditions stabilized.,Add upstream dependency SLO alerts and tracing.
INC_0025,cpu_timeout,"2026-02-01 12:19:52 ERROR SearchService timeout on node-1
2026-02-01 12:19:57 WARN CPU usage 95% on node-1
2026-02-01 12:20:12 WARN Queue depth high for SearchService
2026-02-01 12:20:52 INFO Restart initiated for SearchService
2026-02-01 12:21:52 INFO Service restored","Engineer A: SearchService requests are failing.
Engineer B: High load on node-1 (CPU 95%).
Engineer A: Restarting the service.
Engineer B: Traffic is back to normal.",kubectl rollout restart deployment SearchService,High CPU usage on node-1 caused SearchService timeouts.,Restarted SearchService deployment.,Configure HPA and set CPU thresholds.
